"orden","campo","filas","no_vacios","vacios","porcentaje_vacios","valores_unicos","valores_frecuentes"
"44","DOI_NORM","6217","1625","4592","73.86","1625","10.15381/rpb.v13i2.1948 [1] || 10.15381/rpb.v13i2.1856 [1] || 10.15381/rpb.v24i1.13101 [1] || 10.15381/rpb.v29i3.22963 [1] || 10.15381/rpb.v13i2.1853 [1]"
"45","REGION_NORM_SUGERIDA","6217","6217","0","0","59","Otros [2496] || Huánuco [641] || Cajamarca [595] || San Martín [447] || Junín [441]"
"46","URL_PRINCIPAL_DETECTADA","6217","6155","62","1","6117","https://peru.fzs.org/noticias/revista-andes-amazonia-5ta-edicion/ [4] || https://fzs.org/wp-content/uploads/2021/09/andes_amazonia_2018.pdf [3] || https://peru.fzs.org/noticias/revista-andes-amazonia-2sta-edition-2016/ [3] || http://posgrado.unc.edu.pe/posgradonew/wp-content/uploads/2021/01/Fiat-Lux-62_2010-P.pdf [3] || https://repositorio.inaigem.gob.pe/items/0aedc0c9-e87b-49a0-a968-e8b208facc18 [2]"
"47","Nombre de Base de datos","6217","6217","0","0","72","Producción científica AN, HU, PA, SM, CA [2078] || Producción científica Restauración [730] || Diagnóstico Junín [509] || Base estado del arte Algarrobo [304] || Producción científica SAF [295]"
"48","TIPO_PUBLICACION_PUBLICO","6217","6217","0","0","2","Artículo [3197] || Tesis [3020]"
"49","SUBTIPO_PUBLICACION_PUBLICO","6217","6217","0","0","8","Artículo científico [3189] || Tesis de pregrado [2380] || Tesis de posgrado [467] || Tesis de nivel no especificado [172] || Publicación de evento científico [6]"
"50","HUELLA_PUBLICACION_PERSISTENTE","6217","6217","0","0","6217","H-BDF16E7637C7A34465497558 [1] || H-1C0B5BB60C3E5B04EDD76824 [1] || H-D4596AE322303F2738A66C69 [1] || H-2F9F09297126F7F2BCB098AE [1] || H-7805DD9ADF44FEB5071BECA7 [1]"
"51","METODO_HUELLA","6217","6217","0","0","1","id_maestro [6217]"
"52","GRADO_ACADEMICO_PUBLICO","6217","3020","3197","51.42","3","Pregrado [2405] || Posgrado [467] || Otros [148]"
"53","NIVEL_ACADEMICO_PUBLICO","6217","3020","3197","51.42","6","Pregrado [2402] || No identificado [389] || Otros [150] || Maestría [54] || Doctorado [24]"
"54","DETALLE_TESIS_POSGRADO_PUBLICO","6217","467","5750","92.49","3","No identificados [389] || Tesis de maestría [54] || Tesis doctoral [24]"
