ID_PUBLICACION_PROPUESTA,TIPO_PROPUESTO,SUBTIPO_PROPUESTO
PUB-001075,Tesis,Tesis de pregrado
PUB-001076,Artículo,Artículo científico
PUB-001077,Artículo,Artículo científico
PUB-001078,Artículo,Artículo científico
PUB-001079,Artículo,Artículo científico
PUB-001080,Artículo,Artículo científico
PUB-001081,Artículo,Artículo científico
PUB-001082,Tesis,Tesis de pregrado
PUB-001083,Tesis,Tesis de pregrado
PUB-001084,Artículo,Artículo científico
PUB-001085,Tesis,Tesis de posgrado no especificada
PUB-001086,Tesis,Tesis de pregrado
PUB-001087,Tesis,Tesis de pregrado
PUB-001088,Tesis,Tesis de pregrado
PUB-001089,Tesis,Tesis de pregrado
PUB-001090,Tesis,Tesis de pregrado
PUB-001091,Tesis,Tesis de pregrado
PUB-001092,Tesis,Tesis de posgrado no especificada
PUB-001093,Tesis,Tesis de pregrado
PUB-001094,Tesis,Tesis de pregrado
PUB-001095,Artículo,Artículo científico
PUB-001096,Tesis,Tesis de pregrado
PUB-001097,Tesis,Tesis de pregrado
PUB-001098,Tesis,Tesis de pregrado
PUB-001099,Artículo,Artículo científico
PUB-001100,Artículo,Artículo científico
PUB-001101,Tesis,Tesis de pregrado
PUB-001102,Tesis,Tesis de posgrado no especificada
PUB-001103,Tesis,Tesis de pregrado
PUB-001104,Tesis,Tesis de pregrado
PUB-001105,Tesis,Tesis de pregrado
PUB-001106,Tesis,Tesis de pregrado
PUB-001107,Tesis,Tesis de pregrado
PUB-001108,Tesis,Tesis de pregrado
PUB-001109,Tesis,Tesis de pregrado
PUB-001110,Tesis,Tesis de pregrado
PUB-001111,Tesis,Tesis de pregrado
PUB-001112,Tesis,Tesis de pregrado
PUB-001113,Tesis,Tesis de pregrado
